time,Disclosure Risk
100,0.4536082474226804
200,0.4120603015075377
300,0.411371237458194
400,0.4080604534005038
500,0.41282565130260523
600,0.4090150250417362
700,0.4105865522174535
800,0.410288582183187
900,0.41379310344827586
1000,0.4112337011033099
1100,0.40855323020928114
1200,0.40950792326939117
1300,0.4095458044649731
1400,0.4094488188976378
1500,0.4109406270847232
1600,0.41150719199499686
1700,0.41190335886859164
1800,0.4102279043913285
1900,0.4107424960505529
2000,0.408704352176088
2100,0.4059075750357313
2200,0.4070031832651205
2300,0.4071335363201392
2400,0.40850354314297627
2500,0.4053621448579432
2600,0.40477106579453637
2700,0.40385327899221934
2800,0.40371561271882817
2900,0.40117281821317696
3000,0.4018006002000667
3100,0.4027105517909003
3200,0.40356361362925913
3300,0.4037587147620491
3400,0.40382916053019147
3500,0.4034334763948498
3600,0.40233398166157264
3700,0.4011895106785618
3800,0.40142142669123454
3900,0.4021041827046446
4000,0.40185046261565394
4100,0.40180531837033423
4200,0.40200047630388186
4300,0.40218655501279366
4400,0.4025914980677427
4500,0.40320071126917095
4600,0.40313111545988256
4700,0.4037029155139391
4800,0.4032090018753907
4900,0.40191875893039397
5000,0.40268053610722143
5100,0.40262796626789565
5200,0.40180804000769377
5300,0.40101906020003775
5400,0.4011854047045749
5500,0.40130980534837185
5600,0.40150026790498305
5700,0.4020003509387612
5800,0.40293103448275863
5900,0.40274715957266405
6000,0.4025670945157526
6100,0.4026889654041646
6200,0.40296822068075494
6300,0.4033666825472447
6400,0.4027191748710736
6500,0.40295521009696783
6600,0.4030913774814366
6700,0.40271763476183364
6800,0.4025591998823356
6900,0.4032468473691839
7000,0.4033433347621089
7100,0.4032962389068883
7200,0.40377935250798946
7300,0.40337171052631576
7400,0.40275712934180297
7500,0.4028537138285105
7600,0.40294775628372154
7700,0.4027795817638654
7800,0.402590740028216
7900,0.4025579333924275
8000,0.40317539692461557
8100,0.40298876126960603
8200,0.40285400658616904
8300,0.4032782933590454
8400,0.40326229313013456
8500,0.4033415695964231
8600,0.4031864170252355
8700,0.40312751523513857
8800,0.40311399022616207
8900,0.4030789976401843
9000,0.4031559062118013
9100,0.4035608308605341
9200,0.4036308294379824
9300,0.4037654653039268
9400,0.40419193531226727
9500,0.4041478050321086
9600,0.4045014066895905
9700,0.40455811075590387
9800,0.4045310745994489
9900,0.4046873421557733
10000,0.40524052405240524
10100,0.40469353401326863
10200,0.4048436121188352
10300,0.40497232203554434
10400,0.40503894605250507
10500,0.40549042036030886
10600,0.4055099537692235
10700,0.405645387419385
10800,0.40559311047319196
10900,0.40554179282502983
11000,0.40549140830984637
11100,0.40580232453374177
11200,0.4057505134386999
11300,0.4060370009737098
11400,0.40626370734274936
11500,0.4069919123402035
11600,0.4067592033796017
11700,0.40678690486366353
11800,0.4068141367912535
11900,0.40675687032523744
12000,0.4068517129282321
12100,0.40705843458137037
12200,0.40708254774981556
12300,0.40743149849581267
12400,0.407290910557303
12500,0.40715257220577644
12600,0.4071751726327486
12700,0.40759114890936293
12800,0.40800062504883194
12900,0.4080936506705946
13000,0.4083391030079237
13100,0.4082754408733491
13200,0.40844003333585877
13300,0.40867734416121515
13400,0.4088364803343533
13500,0.4092895770057041
13600,0.409368335907052
13700,0.40929994890137966
13800,0.4095948981810276
13900,0.4097417080365494
