time,SSE unbounded Info Loss
100,196.04813988889896
200,389.8874050719218
300,589.3051464876954
400,788.8226591861254
500,982.8501347669693
600,1180.731514630283
700,1375.459796446646
800,1572.5159754982774
900,1768.347250087488
1000,1967.5710419205764
1100,2162.806572042809
1200,2360.504959371278
1300,2557.7214543597624
1400,2755.5661012352984
1500,2950.544899071978
1600,3148.914911528958
1700,3342.5135616750713
1800,3535.7045320452557
1900,3732.529238747721
2000,3927.061425247701
2100,4121.403811098733
2200,4310.521046541098
2300,4506.237431061668
2400,4695.912472497509
2500,4897.983427251053
2600,5093.561374165951
2700,5292.636968293878
2800,5486.991777090039
2900,5683.301938642045
3000,5875.197713156392
3100,6071.874693858687
3200,6263.247243702418
3300,6462.15247526369
3400,6662.628413399767
3500,6855.8485541228765
3600,7054.001843272435
3700,7250.908998523197
3800,7444.809412411927
3900,7639.072130982923
4000,7836.378208643117
4100,8027.340677385212
4200,8225.605590258827
4300,8422.950849693045
4400,8619.117968365259
4500,8815.215528316421
4600,9011.291647541093
4700,9205.93481369318
4800,9399.23681117605
4900,9588.81187003908
5000,9782.311433005973
5100,9971.793470485769
5200,10168.967890825465
5300,10363.999962034613
5400,10561.225007922323
5500,10753.098184793336
5600,10947.01905541449
5700,11139.80963320758
5800,11332.452799359668
5900,11528.673712786649
6000,11725.773197535656
6100,11927.479870525598
6200,12122.313802585013
6300,12317.804598539662
6400,12509.421727228577
6500,12704.234536635202
6600,12897.905672477347
6700,13091.010745941949
6800,13286.718407196282
6900,13484.627121215091
7000,13678.67447986266
7100,13877.183495053603
7200,14069.418557185334
7300,14261.90131880012
7400,14454.061700933175
7500,14647.991294820518
7600,14851.86077367347
7700,15051.518759273504
7800,15251.814396445216
7900,15448.176934867754
8000,15638.330227731789
8100,15833.407586542498
8200,16030.177760994919
8300,16222.076988689365
8400,16416.57802293225
8500,16616.252770961266
8600,16811.87986843367
8700,17010.71260947602
8800,17207.364494071477
8900,17400.727813735375
9000,17591.92926351719
9100,17788.236073849777
9200,17983.284213738705
9300,18176.427273137433
9400,18370.3206074029
9500,18568.635452075352
9600,18765.08925573574
9700,18955.19703895406
9800,19154.657371578003
9900,19349.694082161586
10000,19543.833915247244
10100,19737.56344147253
10200,19937.02455533779
10300,20135.991138357494
10400,20328.58437642533
10500,20525.50086381667
10600,20724.628284155475
10700,20918.5932027922
10800,21116.4923770949
10900,21315.131631722164
11000,21515.388766400458
11100,21708.07060369848
11200,21904.691807741852
11300,22099.90156136833
11400,22293.238796108468
11500,22490.903359241045
11600,22686.978745793385
